nome;vencimento;rentabilidade;risco;preco_unitario;quantidade_disponivel;investimento_minimo;ir
nome;vencimento;rentabilidade;risco;preco_Unitario;quantidade_disponivel;investimento_minimo;ir
CDB BANCO MASTER S/A - SE...;03/09/2029;17.38;17;R$ 1.467.76;23;1467.76;15
CDB BANCO MASTER S/A - SE...;03/09/2029;17.38;17;R$ 1.093.38;2;1093.38;15
CDB BANCO MASTER S/A - SE...;11/09/2029;17.37;17;R$ 1.090.30;2;1090.3;15
CDB BANCO MASTER S/A - SE...;10/09/2029;17.37;17;R$ 1.091.00;33;1091;15
CDB BANCO MASTER S/A - SE...;12/09/2029;17.36;17;R$ 1.090.00;39;1090;15
CDB BANCO MASTER S/A - SE...;18/09/2029;17.35;17;R$ 1.110.64;3;1110.64;15
CDB BANCO MASTER S/A - SE...;24/09/2029;17.35;17;R$ 1.107.82;6;1107.82;15
CDB BANCO MASTER S/A - OU...;01/10/2029;17.34;17;R$ 1.116.89;23;1116.89;15
CDB BANCO MASTER S/A - SE...;27/09/2029;17.34;17;R$ 1.111.90;5;1111.9;15
CDB BANCO MASTER S/A - OU...;10/10/2029;17.32;17;R$ 1.232.78;2;1232.78;15
CDB BANCO MASTER S/A - OU...;08/10/2029;17.32;17;R$ 1.134.67;2;1134.67;15
CDB BANCO MASTER S/A - OU...;18/10/2029;17.31;17;R$ 1.126.52;6;1126.52;15
CDB BANCO MASTER S/A - OU...;16/10/2029;17.31;17;R$ 1.116.27;4;1116.27;15
CDB BANCO MASTER S/A - OU...;15/10/2029;17.31;17;R$ 1.117.57;6;1117.57;15
CDB BANCO MASTER S/A - OU...;25/10/2029;17.3;17;R$ 1.094.47;21;1094.47;15
CDB BANCO MASTER S/A - OU...;22/10/2029;17.3;17;R$ 1.229.20;1;1229.2;15
CDB BANCO MASTER S/A - OU...;24/10/2029;17.3;17;R$ 1.106.66;6;1106.66;15
CDB BANCO MASTER S/A - JA...;08/01/2030;17.2;19;R$ 1.192.84;1;1192.84;15
CDB BANCO MASTER S/A - JU...;06/09/2032;17.0;28;R$ 915.13;4;915.13;15
CDB MASTER - JUROS MENSAL...;05/05/2031;17.0;23;R$ 914.00;46;914;15
CDB BANCO MASTER S/A - JU...;12/07/2032;17.0;28;R$ 908.42;153;908.42;15
CDB MASTER - JUROS MENSAL...;11/03/2031;17.0;23;R$ 929.86;8;929.86;15
CDB BANCO MASTER S/A - JU...;15/03/2032;17.0;26;R$ 852.92;4;852.92;15
CDB MASTER - JUROS MENSAL...;29/05/2031;17.0;23;R$ 898.78;2;898.78;15
CDB MASTER - JUROS MENSAL...;14/04/2031;17.0;23;R$ 910.79;2;910.79;15
CDB BANCO MASTER S/A - JU...;18/08/2031;17.0;25;R$ 880.45;4;880.45;15
CDB BANCO MASTER S/A - JU...;18/10/2032;17.0;28;R$ 915.76;4;915.76;15
CDB BANCO MASTER S/A - JU...;19/10/2032;17.0;28;R$ 937.95;40;937.95;15
CDB MASTER - JUROS MENSAL...;05/01/2031;17.0;23;R$ 911.68;25;911.68;15
CDB BANCO MASTER S/A - JU...;02/08/2032;17.0;28;R$ 908.49;20;908.49;15
CDB BANCO MASTER S/A - JU...;14/12/2032;17.0;30;R$ 956.21;5;956.21;15
CDB MASTER - JUROS MENSAL...;24/03/2031;17.0;23;R$ 927.74;6;927.74;15
CDB BANCO MASTER S/A - JU...;25/10/2032;17.0;28;R$ 926.90;26;926.9;15
CDB BANCO MASTER S/A - SE...;13/09/2030;17.0;21;R$ 1.428.79;2;1428.79;15
CDB BANCO MASTER S/A - JU...;17/06/2030;17.0;19;R$ 1.024.60;2;1024.6;15
CDB BANCO MASTER S/A - JU...;15/12/2031;17.0;25;R$ 848.77;4;848.77;15
CDB BANCO MASTER S/A - JU...;20/09/2032;17.0;28;R$ 894.85;5;894.85;15
CDB BANCO MASTER S/A - JU...;13/05/2032;17.0;26;R$ 892.42;7;892.42;15
